YEAR,MONTH,DAY,RAINFALL,WIND_SPEED,WIND_DIRECTION
2020,1,1,30.4,4,40
2020,1,2,4.6,4,50
2020,1,3,44.8,3,40
2020,1,4,40.4,3,60
2020,1,5,54.6,3,40
2020,1,6,75,3,40
2020,1,7,40.9,1,30
2020,1,8,5.4,2,60
2020,1,9,-1,2,40
2020,1,10,0,2,50
2020,1,11,1.8,2,50
2020,1,12,0,1,50
2020,1,13,0,2,50
2020,1,14,-1,5,40
2020,1,15,0.6,3,30
2020,1,16,56.6,1,50
2020,1,17,0,1,90
2020,1,18,8,3,40
2020,1,19,0.1,3,40
2020,1,20,-1,3,60
2020,1,21,0.2,3,40
2020,1,22,0.4,3,60
2020,1,23,17.7,3,60
2020,1,24,80.2,2,60
2020,1,25,45.8,1,20
2020,1,26,0,1,30
2020,1,27,0,2,70
2020,1,28,0,1,80
2020,1,29,0,1,290
2020,1,30,-1,2,50
2020,1,31,-1,3,50
2020,2,1,0.4,3,30
2020,2,2,0,3,40
2020,2,3,0,3,40
2020,2,4,-1,2,60
2020,2,5,5.4,4,40
2020,2,6,37.2,3,50
2020,2,7,9.2,2,50
2020,2,8,12.9,2,60
2020,2,9,5.1,4,40
2020,2,10,-1,3,30
2020,2,11,6,2,60
2020,2,12,7.4,2,60
2020,2,13,1.5,3,30
2020,2,14,1.8,3,70
2020,2,15,0,2,40
2020,2,16,0,2,70
2020,2,17,0,3,40
2020,2,18,2.6,4,40
2020,2,19,-1,5,40
2020,2,20,3,4,30
2020,2,21,14.4,4,40
2020,2,22,5.2,3,30
2020,2,23,6.4,4,50
2020,2,24,3.8,3,50
2020,2,25,4.8,2,60
2020,2,26,5.4,2,40
2020,2,27,1.6,3,40
2020,2,28,2,3,40
2020,2,29,-1,2,40
2020,3,1,0.4,2,40
2020,3,2,2.7,3,30
2020,3,3,2.1,2,40
2020,3,4,0,2,80
2020,3,5,-1,2,30
2020,3,6,159.4,1,50
2020,3,7,2,1,60
2020,3,8,0,1,50
2020,3,9,0,2,30
2020,3,10,0,2,80
2020,3,11,0,3,90
2020,3,12,0,2,70
2020,3,13,0,2,50
2020,3,14,0.6,2,80
2020,3,15,0,2,50
2020,3,16,22,2,30
2020,3,17,15.7,2,40
2020,3,18,2.6,2,40
2020,3,19,4.2,2,80
2020,3,20,0,2,80
2020,3,21,6.1,2,40
2020,3,22,-1,2,90
2020,3,23,-1,2,40
2020,3,24,0,2,40
2020,3,25,0,3,60
2020,3,26,0.4,3,40
2020,3,27,-1,3,30
2020,3,28,0.2,2,40
2020,3,29,0,2,30
2020,3,30,0,2,80
2020,3,31,-1,2,40
2020,4,1,0.2,2,90
2020,4,2,5,2,80
2020,4,3,9.4,2,40
2020,4,4,0,2,40
2020,4,5,1.7,2,50
2020,4,6,0,2,40
2020,4,7,0,2,40
2020,4,8,0,2,90
2020,4,9,0,2,80
2020,4,10,0,2,90
2020,4,11,0,2,90
2020,4,12,0,1,90
2020,4,13,0,2,30
2020,4,14,-1,2,40
2020,4,15,0,2,60
2020,4,16,1.2,2,40
2020,4,17,0.4,2,60
2020,4,18,0,2,50
2020,4,19,-1,2,40
2020,4,20,0.9,2,40
2020,4,21,6.9,2,40
2020,4,22,0,2,50
2020,4,23,3.2,2,50
2020,4,24,-1,2,40
2020,4,25,11.9,3,30
2020,4,26,1.6,2,40
2020,4,27,0,2,80
2020,4,28,0.4,2,30
2020,4,29,31.7,1,40
2020,4,30,1.2,2,40
2020,5,1,-1,2,40
2020,5,2,48.6,1,40
2020,5,3,41.8,1,60
2020,5,4,9.4,2,40
2020,5,5,0,2,50
2020,5,6,0,2,50
2020,5,7,0,2,90
2020,5,8,0,2,40
2020,5,9,0,2,50
2020,5,10,40.4,4,60
2020,5,11,0,2,40
2020,5,12,0,2,30
2020,5,13,4.6,2,40
2020,5,14,117.4,3,60
2020,5,15,9,1,50
2020,5,16,9.8,1,20
2020,5,17,-1,1,40
2020,5,18,0,1,40
2020,5,19,0,1,70
2020,5,20,0.4,2,50
2020,5,21,0,1,80
2020,5,22,0,1,70
2020,5,23,-1,2,90
2020,5,24,1.8,1,30
2020,5,25,0.7,1,30
2020,5,26,0,2,20
2020,5,27,0,2,30
2020,5,28,0,2,90
2020,5,29,0,2,80
